tree	group	V1	V2	V3	V4	V5	V6
classic1_STATE_755850000	classic1	29.9382672415688	7.83485604685588	4.52070834770733	-7.42558746423245	-9.79261274397766	-35.2229520726835
classic1_STATE_757530000	classic1	41.5868692936452	15.8462780325037	18.7843592713283	1.72903931976063	17.4025870452723	-1.60867816175025
classic1_STATE_759200000	classic1	29.0789013471755	-0.0985802192859325	9.01458880164373	34.3385413861484	-4.39511969103828	-11.3857282581182
classic1_STATE_760870000	classic1	25.0119964428423	4.26509117533489	-9.26007097563748	21.0810320487426	-14.1032455561749	17.0843300116207
classic1_STATE_762540000	classic1	6.64493899646662	13.1822545538119	19.1619916602145	22.3815524605959	-33.0872618909098	-5.57078796372917
classic1_STATE_764210000	classic1	37.2478117480015	2.98860814668822	-2.05948676616762	11.5197926034999	-20.5902481954229	12.2429455992806
classic1_STATE_765890000	classic1	41.0957333387589	8.70923525186253	-16.0301123212779	-19.2583871884377	-13.1529481574908	-36.2684405774103
classic1_STATE_767560000	classic1	30.6686221800595	7.34651693971837	-12.7835961268329	-14.0331307391464	-0.190895352589036	14.1871040554735
classic1_STATE_769230000	classic1	26.6087860462376	14.9774996033697	24.6632319221213	-3.04997323089452	-0.387963867859567	15.4131933941522
classic1_STATE_770900000	classic1	34.2696000047643	6.27216874519372	-19.1556791755958	-27.5930374501952	-27.7853115455435	-8.06320335569401
classic1_STATE_772580000	classic1	16.6634800299746	1.07929579989055	-10.7221632087538	-8.9210040692506	4.1005541223664	4.70109084828017
classic1_STATE_774250000	classic1	21.3262044302994	1.57790821738859	-5.58847330034979	-7.15438955084595	4.94817902517687	-0.739363059771111
classic1_STATE_775920000	classic1	30.2650757526442	8.49832720909099	20.2115421073969	27.604461458305	-13.6517689318905	13.861127319009
classic1_STATE_777590000	classic1	27.4354776819713	19.9475231119336	12.2602434919856	-5.97476106478328	5.02589586961848	6.04420173157017
classic1_STATE_779260000	classic1	29.5977450947918	1.98030182591518	15.3469271659279	-1.44307791188184	6.7132781360817	17.1405238128303
classic1_STATE_780940000	classic1	41.205868565096	27.3173215397509	13.0813803691859	-8.93153620888835	-1.48567703216672	16.002125392405
classic1_STATE_782610000	classic1	26.7772224728933	-12.6173872197711	-1.82574938655276	-13.6198971574833	4.74071609833718	17.6798603232881
classic1_STATE_784280000	classic1	29.1619495474539	2.25794726706024	-22.2124828984291	-13.9684563402474	-5.31358993400269	19.6305047636823
classic1_STATE_785950000	classic1	19.83657189497	10.4130114018691	-10.2962970719736	-17.030573224984	0.844840525755972	15.1770505385672
classic1_STATE_787630000	classic1	23.832122233056	-14.9398174520008	21.7588203019464	9.04197416831096	17.4281480625144	-0.264135295012448
classic1_STATE_789300000	classic1	35.0135036104256	9.18582672458184	15.885005298371	2.84317910142396	4.02459075836591	-6.81702342674526
classic1_STATE_790970000	classic1	35.2913924191261	8.82126257352764	-22.5502884461839	-2.37228955381731	12.1572870789598	-12.9845618997932
classic1_STATE_792640000	classic1	31.5389729690975	7.87520361666775	12.8138873711335	30.9256418355054	-9.91345323993573	11.5070146418107
classic1_STATE_794310000	classic1	44.0112721306245	8.83309677437419	-13.6734764604949	2.86623743613107	15.6605212815827	-8.34003285574634
classic1_STATE_795990000	classic1	9.77919070662469	-31.8356362540252	-16.3616605352116	-14.3746344691822	11.7615261988195	17.3627919859061
classic1_STATE_797660000	classic1	31.641901904893	-0.994007727988606	18.6639394583753	23.0290109581798	-26.8213119991419	-9.09414610860757
classic1_STATE_799330000	classic1	28.7986261325955	1.78354124498108	-15.2552669141922	-14.2987055523071	-1.87243579182814	12.8881938179555
classic1_STATE_801000000	classic1	29.3076011190524	2.61828378652868	-0.097488420054868	1.89710484643089	8.68404207124783	-11.9662785722042
classic1_STATE_802680000	classic1	25.8887043060377	2.44747786226795	20.6438439812479	2.07591600955503	-7.1359182541128	-38.8829080428797
